SubjTrial,SubjectID,ExpNum,ItemNum,Response,TargetWord,TrialType,Syllogism,MiddleSyllogismPairing,ListNum,premise1,premise2,conclusion,digitMatch,RT,SyllogismSimple,ExpectedResponse,ResponseWasCorrect,excl.subj,excl.trial
1_1,1,N1-c-M1,1,1,suit,Homonymy,Darii,4,1,All suits are dress attire,Some court proceedings are suits,Some court proceedings are dress attire,NA,10475,Darii,0,0,0,0
1_2,1,N1-c-M1,2,1,doughnuts,Valid Filler,Datisi,4,1,All doughnuts are sugary ,Some doughnuts are treats,Some treats are sugary,NA,2758,Datisi,1,1,0,0
1_3,1,N1-c-M1,3,0,match,Homonymy,Darii,4,1,All matches are combustible,Some pay-per-view broadcasts are matches,Some pay-per-view broadcasts are combustible,NA,3119,Darii,0,1,0,0
1_4,1,N1-c-M1,4,0,antiques,Invalid Filler,Datisi*,4,1,All medieval manuscripts are antiques ,Some antiques are pieces of jewelry,Some pieces of jewelry are medieval manuscripts,NA,5547,Datisi,0,1,0,0
1_5,1,N1-c-M1,5,0,dances,Invalid Filler,Datisi*,4,1,All ballets are dances ,Some dances are mating rituals,Some mating rituals are ballets ,NA,6267,Datisi,0,1,0,0
1_6,1,N1-c-M1,6,1,poets,Valid Filler,Dimatis,4,1,Some teachers are poets,All poets are writers ,Some writers are teachers,NA,2188,Dimatis,1,1,0,0
1_7,1,N1-c-M1,7,0,dresses,Invalid Filler,Datisi*,4,1,All ball gowns are dresses ,Some dresses are cocktail outfits,Some cocktail outfits are ball gowns,NA,7157,Datisi,0,1,0,0
1_8,1,N1-c-M1,8,0,school,Polysemy,Darii,4,1,All schools have classrooms,Some employers are schools,Some employers have classrooms,NA,3468,Darii,0,1,0,0
1_9,1,N1-c-M1,9,1,toilets,Invalid Filler,Darii*,4,1,All urinals are toilets,Some seats are toilets,Some seats are urinals,NA,6796,Darii,0,0,0,0
1_10,1,N1-c-M1,10,1,breakfast,Polysemy,Datisi,4,1,All breakfasts are under three hours,Some breakfasts are smoothies,Some smoothies are under three hours,NA,4491,Datisi,0,0,0,0
1_11,1,N1-c-M1,11,0,ball,Homonymy,Disamis,4,1,Some balls are senior proms,All balls are toys,Some toys are senior proms,NA,2538,Disamis,0,1,0,0
1_12,1,N1-c-M1,12,1,trucks,Valid Filler,Disamis,4,1,Some trucks are big rigs,All trucks are vehicles,Some vehicles are big rigs,NA,3188,Disamis,1,1,0,0
1_13,1,N1-c-M1,13,0,bat,Homonymy,Datisi,4,1,All bats are animals,Some bats are sporting goods,Some sporting goods are animals,NA,2910,Datisi,0,1,0,0
1_14,1,N1-c-M1,14,0,company,Polysemy,Disamis,4,1,Some companies are in city centers,All companies are hierarchies,Some hierarchies are in city centers,NA,3147,Disamis,0,1,0,0
1_15,1,N1-c-M1,15,0,sausages,Invalid Filler,Dimatis*,4,1,Some pizza toppings are sausages,All chili dogs are sausages,Some chili dogs are pizza toppings,NA,4967,Dimatis,0,1,0,0
1_16,1,N1-c-M1,16,0,college,Polysemy,Datisi,4,1,All colleges grant degrees,Some colleges are historic buildings,Some historic buildings grant degrees,NA,3455,Datisi,0,1,0,0
