SubjTrial,SubjectID,ExpNum,ItemNum,Response,TargetWord,TrialType,Syllogism,MiddleSyllogismPairing,ListNum,premise1,premise2,conclusion,digitMatch,RT,SyllogismSimple,ExpectedResponse,ResponseWasCorrect,excl.subj,excl.trial
1_1,1,M1-cross,1,1,novel,Polysemy,Disamis,2,2,Some novels weigh over a pound,All novels are stories,Some stories weigh over a pound,NA,11949,Disamis,0,0,0,0
1_2,1,M1-cross,2,0,thieves,Invalid Filler,Datisi*,2,2,All mob bosses are thieves,Some thieves are children,Some children are mob bosses,NA,19705,Datisi,0,1,0,0
1_3,1,M1-cross,3,0,steaks,Invalid Filler,Dimatis*,2,2,Some delicious entrées are steaks,All rotten ribeyes are steaks,Some rotten ribeyes are delicious entrées,NA,13781,Dimatis,0,1,0,0
1_4,1,M1-cross,4,0,dances,Invalid Filler,Disamis*,2,2,Some dances are mating rituals ,All ballets are dances,Some ballets are mating rituals ,NA,11583,Disamis,0,1,0,0
1_5,1,M1-cross,5,0,ring,Homonymy,Disamis,2,2,Some rings are made of gold,All rings are sounds,Some sounds are made of gold,NA,13868,Disamis,0,1,0,0
1_6,1,M1-cross,6,0,mothers,Invalid Filler,Disamis*,2,2,Some mothers are teens,All grandmas are mothers,Some grandmas are teens,NA,9697,Disamis,0,1,0,0
1_7,1,M1-cross,7,1,suitcases,Valid Filler,Datisi,2,2,All suitcases are pieces of luggage,Some suitcases are bags,Some bags are pieces of luggage,NA,10314,Datisi,1,1,0,0
1_8,1,M1-cross,8,0,shapes,Invalid Filler,Dimatis*,2,2,Some road signs are shapes,All cylinders are shapes,Some cylinders are road signs,NA,7961,Dimatis,0,1,0,0
1_9,1,M1-cross,9,0,picnic,Polysemy,Darii,2,2,All picnics happen in nature,Some salads are picnics,Some salads happen in nature,NA,14213,Darii,0,1,0,0
1_10,1,M1-cross,10,0,lunch,Polysemy,Datisi,2,2,All lunches are breaks,Some lunches are soups,Some soups are breaks,NA,7428,Datisi,0,1,0,0
1_11,1,M1-cross,11,0,bat,Homonymy,Disamis,2,2,Some bats are made for softball,All bats are animals,Some animals are made for softball,NA,14621,Disamis,0,1,0,0
1_12,1,M1-cross,12,0,ruler,Homonymy,Dimatis,2,2,Some queens are rulers,All rulers are standard lengths,Some standard lengths are queens,NA,19813,Dimatis,0,1,0,0
1_13,1,M1-cross,13,1,city,Polysemy,Darii,2,2,All cities are bureaucracies,Some graffitied places are cities,Some graffitied places are bureaucracies,NA,12238,Darii,0,0,0,0
1_14,1,M1-cross,14,0,breakfast,Polysemy,Disamis,2,2,Some breakfasts are under an hour,All breakfasts are nutrients,Some nutrients are under an hour,NA,23994,Disamis,0,1,0,0
1_15,1,M1-cross,15,1,grapes,Valid Filler,Dimatis,2,2,Some snacks are grapes,All grapes are fruits ,Some fruits are snacks,NA,10394,Dimatis,1,1,0,0
1_16,1,M1-cross,16,1,liars,Valid Filler,Datisi,2,2,All liars are humans,Some liars are criminals,Some criminals are humans,NA,26232,Datisi,1,1,0,0
